ds,y_hat,y_lower,y_upper,y
2015.07.16,1.09455,1.09618,1.08548,1.08738
2015.07.17,1.08738,1.09063,1.08275,1.08285
2015.07.20,1.08275,1.08694,1.08078,1.08241
2015.07.21,1.08242,1.09680,1.08108,1.09339
2015.07.22,1.09333,1.09660,1.08689,1.09278
2015.07.23,1.09279,1.10172,1.09210,1.09846
2015.07.24,1.09845,1.09951,1.09246,1.09758
2015.07.27,1.09806,1.11280,1.09682,1.10871
2015.07.28,1.10878,1.10990,1.10214,1.10592
2015.07.29,1.10593,1.10832,1.09663,1.09826
2015.07.30,1.09830,1.09886,1.08924,1.09312
2015.07.31,1.09313,1.11131,1.09204,1.09828
2015.08.03,1.09704,1.09952,1.09405,1.09494
2015.08.04,1.09489,1.09868,1.08783,1.08802
2015.08.05,1.08801,1.09293,1.08474,1.09049
2015.08.06,1.09049,1.09433,1.08729,1.09243
2015.08.07,1.09240,1.09775,1.08545,1.09624
2015.08.10,1.09627,1.10407,1.09246,1.10177
2015.08.11,1.10185,1.10875,1.09598,1.10409
2015.08.12,1.10410,1.12132,1.10236,1.11565
2015.08.13,1.11566,1.11882,1.10792,1.11490
2015.08.14,1.11485,1.11880,1.10971,1.11104
2015.08.17,1.11156,1.11241,1.10579,1.10767
2015.08.18,1.10767,1.10931,1.10163,1.10230
2015.08.19,1.10230,1.11336,1.10168,1.11187
2015.08.20,1.11187,1.12438,1.11062,1.12411
2015.08.21,1.12407,1.13878,1.12285,1.13846
2015.08.24,1.13739,1.17130,1.13687,1.16177
2015.08.25,1.16174,1.16211,1.13954,1.15157
2015.08.26,1.15159,1.15607,1.12907,1.13126
2015.08.27,1.13133,1.13637,1.12022,1.12446
2015.08.28,1.12441,1.13090,1.11552,1.11800
2015.08.31,1.11708,1.12618,1.11688,1.12100
2015.09.01,1.12096,1.13314,1.12075,1.13140
2015.09.02,1.13140,1.13188,1.12157,1.12264
2015.09.03,1.12265,1.12427,1.10864,1.11217
2015.09.04,1.11218,1.11875,1.10906,1.11498
2015.09.07,1.11637,1.11769,1.11207,1.11686
2015.09.08,1.11690,1.12287,1.11517,1.12016
2015.09.09,1.12017,1.12155,1.11309,1.12060
2015.09.10,1.12063,1.12946,1.11709,1.12787
2015.09.11,1.12788,1.13487,1.12534,1.13333
2015.09.14,1.13300,1.13724,1.12827,1.13156
2015.09.15,1.13157,1.13281,1.12576,1.12686
2015.09.16,1.12688,1.13198,1.12133,1.12886
2015.09.17,1.12885,1.14405,1.12838,1.14332
2015.09.18,1.14334,1.14596,1.12687,1.12982
2015.09.21,1.12798,1.13296,1.11805,1.11884
2015.09.22,1.11882,1.12068,1.11125,1.11189
2015.09.23,1.11189,1.12127,1.11044,1.11847
2015.09.24,1.11860,1.12952,1.11638,1.12289
2015.09.25,1.12289,1.12333,1.11154,1.11960
2015.09.28,1.11841,1.12469,1.11458,1.12435
2015.09.29,1.12433,1.12807,1.11931,1.12483
2015.09.30,1.12483,1.12606,1.11564,1.11753
2015.10.01,1.11754,1.12083,1.11342,1.11935
2015.10.02,1.11936,1.13176,1.11496,1.12089
2015.10.05,1.12163,1.12885,1.11727,1.11870
2015.10.06,1.11872,1.12788,1.11711,1.12710
2015.10.07,1.12719,1.12834,1.12107,1.12370
2015.10.08,1.12365,1.13265,1.12338,1.12752
2015.10.09,1.12752,1.13864,1.12663,1.13584
2015.10.12,1.13604,1.13961,1.13533,1.13571
2015.10.13,1.13572,1.14103,1.13435,1.13781
2015.10.14,1.13781,1.14883,1.13766,1.14728
2015.10.15,1.14725,1.14944,1.13623,1.13822
2015.10.16,1.13799,1.13946,1.13335,1.13492
2015.10.19,1.13563,1.13782,1.13050,1.13250
2015.10.20,1.13258,1.13863,1.13232,1.13451
2015.10.21,1.13446,1.13767,1.13334,1.13379
2015.10.22,1.13379,1.13504,1.10995,1.11076
2015.10.23,1.11077,1.11390,1.09959,1.10163
2015.10.25,1.09980,1.10078,1.09980,1.10068
2015.10.26,1.10066,1.10676,1.10032,1.10524
2015.10.27,1.10521,1.10780,1.10295,1.10456
2015.10.28,1.10458,1.10951,1.08961,1.09262
2015.10.29,1.09266,1.09859,1.09019,1.09854
2015.10.30,1.09854,1.10718,1.09648,1.10028
2015.11.02,1.10338,1.10518,1.09995,1.10150
2015.11.03,1.10150,1.10294,1.09354,1.09620
